blue_average_level,blue_total_gold,blue_totalDamageDoneToChampions,blue_totalDamageDone,blue_minionsKilled,blue_timeEnemySpentControlled,blue_jungleMinionsKilled,blue_currentGold,blue_first_blood,blue_champions_killed,red_average_level,red_total_gold,red_totalDamageDoneToChampions,red_totalDamageDone,red_minionsKilled,red_timeEnemySpentControlled,red_jungleMinionsKilled,red_currentGold,red_first_blood,red_champions_killed,blue_win
11.2,39882,55612,123124,107,810574,0,2667,1,32,11.6,39457,51575,114873,94,242770,0,3907,0,28,0
11.2,38016,55485,118283,103,459175,0,3491,1,26,10.6,34854,46479,101181,82,463526,0,2944,0,20,0
11.4,37813,53146,120978,110,477797,0,7113,0,26,10.6,35742,41846,108435,126,533124,0,1892,1,21,0
6.8,16418,15996,116309,203,197187,66,3918,0,6,6.8,21354,18708,156906,184,316942,75,3984,1,16,1
7.2,20480,20826,150130,225,264053,64,3640,1,15,6.4,16415,14275,112602,214,1138302,44,1625,0,6,0
7.2,21135,20676,152620,230,578660,50,3270,0,13,6.6,17924,16742,91428,169,300256,41,2434,1,12,0
7.0,19811,21743,155028,241,300773,40,3151,1,11,6.6,16407,14620,117835,222,324251,44,3531,0,6,0
6.8,16878,13351,112473,213,319142,41,1713,0,9,7.0,20216,20876,148422,228,443845,62,3476,1,12,1
7.2,18734,19593,123057,221,178981,39,3864,1,11,7.0,17685,14439,128085,213,450333,60,4215,0,8,0
7.0,16661,15965,140626,211,351036,72,3051,1,7,7.0,16471,12711,134257,228,393799,64,3242,0,4,0
6.4,14468,13259,100610,182,286431,43,1363,0,3,7.2,21329,16408,141653,199,375585,52,2509,1,13,1
7.0,17367,16230,130091,207,311269,52,3617,0,7,7.2,18033,14792,129201,234,288327,52,4173,1,8,1
7.0,15577,13542,142665,239,265641,63,3947,0,3,6.8,15493,11611,120382,213,360151,48,3748,1,4,1
6.8,15451,12418,130155,262,352850,44,3021,0,2,6.6,15521,6534,108326,213,575081,60,2491,1,4,0
6.8,15988,13059,130215,209,404642,52,4518,0,5,7.0,16919,15238,144985,233,390169,56,3329,1,7,1
6.8,16585,13201,126661,231,462100,48,1055,0,6,6.8,17059,11109,148551,202,297332,62,3534,1,7,0
6.8,16760,11278,127881,245,262448,48,2535,1,7,7.0,16289,11966,139916,219,428703,68,3224,0,4,0
7.0,16186,13503,134350,207,927789,60,2521,1,6,7.0,16430,19044,124411,222,674515,48,1635,0,6,1
6.8,15964,13007,133073,188,529795,46,2719,1,6,7.0,17370,14171,144679,231,446924,64,5700,0,8,0
7.0,18469,14518,146295,237,345219,67,4008,1,6,7.0,16525,12957,116302,238,415154,44,1830,0,6,0
6.6,16380,15986,121791,189,440788,46,3570,0,5,7.0,17228,16931,116303,190,307367,56,4083,1,8,1
7.0,14678,8069,133513,247,970016,70,4778,0,0,7.0,16102,6382,133290,257,255760,56,5292,1,4,1
7.0,18763,17040,131333,217,464603,55,2413,0,11,7.0,18456,14768,123050,240,407207,46,4356,1,9,0
6.6,15698,13761,126658,234,516408,49,2643,1,3,6.6,17118,11664,116998,186,290992,56,4563,0,9,0
6.8,14374,13218,118457,211,236235,53,3009,0,3,7.2,20331,21568,141053,200,437700,54,4271,1,14,1
6.4,15705,14628,129074,199,257833,61,2435,0,4,7.0,19184,16459,126146,222,1066834,48,3439,1,12,1
7.0,16861,11505,133078,212,549058,66,2746,0,7,7.2,19323,17154,143604,244,160934,52,3968,1,10,0
7.2,17249,17054,124560,183,1133457,56,4294,0,8,7.0,17814,16613,144602,231,324454,55,2954,1,5,0
7.2,21527,18939,158196,224,584502,59,3232,1,14,6.6,15323,14174,128617,187,331973,56,2043,0,6,0
7.2,20632,19546,143899,204,554726,59,1992,1,15,7.2,18409,19876,127831,196,312754,55,2599,0,12,0
6.8,16630,21985,98672,176,394749,44,3345,1,9,7.0,17752,20217,121088,184,283766,52,4882,0,9,0
6.6,18223,15986,116325,197,330735,39,2828,0,10,6.6,17318,16128,110990,229,232785,36,3293,1,7,0
7.0,15972,13686,121433,193,260414,60,4537,0,4,6.8,16712,13676,137585,246,1056380,60,2567,1,5,1
6.8,15681,8830,121475,203,337500,64,2761,0,4,7.0,16430,14736,115516,237,430470,48,2340,1,4,0
7.4,20181,16585,138457,248,368417,44,4896,1,13,6.8,16944,16861,143102,229,391746,56,2494,0,5,0
6.8,16145,16906,138476,215,180660,60,2160,1,5,7.2,17994,19858,140827,175,1007008,68,2639,0,12,1
1.2,2676,0,3689,1,13343,4,676,0,0,1.2,2882,149,4628,9,6737,4,382,0,0,1
6.8,15584,10561,133261,241,547682,56,2649,0,4,7.0,16827,9613,137716,247,365985,60,1657,1,4,1
6.2,15163,13181,112315,207,554231,47,1608,0,4,7.2,19719,18563,138722,225,408500,52,4579,1,13,1
7.0,17370,16718,131929,215,194630,72,4090,0,7,7.0,17415,14359,127959,250,263660,44,4545,1,7,0
7.0,16320,14583,140104,207,214374,71,4085,1,5,7.0,15190,13023,122285,224,259585,64,2475,0,3,0
6.8,15430,12375,105975,206,322504,48,3670,1,4,7.0,16170,15681,134926,226,150857,46,4490,0,6,1
7.2,17075,15840,144848,228,566168,60,1765,1,7,7.2,15517,14318,142191,212,1234021,72,3782,0,4,1
7.0,15557,11886,172962,202,207832,48,3797,1,4,6.6,14774,11588,140204,215,413610,68,2479,0,2,1
6.8,16651,12014,142090,210,288497,48,3381,0,7,7.4,18389,21301,130405,203,397298,53,4224,1,12,1
7.6,18803,15552,151121,235,287517,56,2118,0,9,6.8,17447,14338,132046,210,303314,60,1552,1,6,0
7.0,17398,13985,145861,223,1302311,67,3263,0,7,6.8,15771,13800,111683,208,331671,40,2271,1,5,0
7.0,17586,14564,136585,233,840105,68,2696,1,7,7.4,17137,14572,139431,228,437714,60,4477,0,7,1
6.4,16752,18695,106520,218,227523,38,3587,0,7,7.2,19105,20518,143804,221,480942,58,5975,1,9,1
7.0,14991,10860,123893,233,1076469,64,2831,0,2,7.6,19102,17908,166295,256,324193,74,3397,1,10,1
6.4,15266,13424,122053,217,551794,51,2536,0,2,7.4,19758,18578,133211,219,385191,52,5518,1,13,1
6.4,13974,15095,98261,192,329400,44,1509,0,2,7.2,19588,18542,144064,230,592863,56,4508,1,12,1
7.0,18179,15739,142135,210,279369,64,3564,0,9,7.0,17067,20844,142922,209,234729,48,2082,1,8,0
6.6,16424,15193,111678,213,209219,32,2944,0,5,6.6,16116,16498,117513,193,403421,47,2496,1,8,1
7.0,16368,9128,147418,228,584638,68,5328,0,4,7.2,17415,12876,145758,252,383781,56,3105,1,5,1
7.6,16678,10428,155191,237,142977,72,3483,1,4,7.2,16536,13019,151185,247,178169,60,3821,0,4,1
6.8,16864,17319,135014,204,553089,60,2014,1,6,7.4,20248,21760,159419,228,264894,52,5473,0,12,1
7.0,20741,19887,142366,219,563237,56,3491,0,12,6.8,16493,11912,127104,185,383144,48,2258,1,6,0
7.0,18472,14196,245529,222,455465,57,5187,1,8,6.8,16036,12056,138976,194,347048,56,3066,0,4,0
6.8,17444,18062,128792,199,255157,45,2509,0,9,7.0,18764,21136,121193,184,269865,54,4419,1,12,1
7.2,19539,17197,152987,246,313069,52,3174,1,11,7.0,17226,14996,127894,228,171313,60,4406,0,5,0
6.8,16467,15005,129059,226,423883,49,2122,0,6,7.0,18291,15801,131290,226,264402,46,2816,1,8,0
6.8,14857,14905,188354,192,263500,45,1482,0,4,7.0,16839,14483,115782,210,293127,52,5214,1,7,1
6.8,17871,13775,112803,214,107973,48,3406,1,10,7.2,21214,21306,150523,265,469798,60,7209,0,10,1
7.0,16893,12715,133201,225,1232864,64,2493,1,7,7.2,18610,14104,151911,237,261147,56,3005,0,8,0
7.2,17442,15108,130590,241,422366,56,2337,0,7,7.2,18211,18770,138077,231,398746,48,3926,1,8,1
6.4,13533,11389,111985,200,615104,48,1873,1,1,7.0,18044,16418,141026,231,538900,55,3484,0,10,1
6.6,15512,13767,125373,213,260617,52,3942,0,6,7.2,17882,20179,128552,221,249330,44,4837,1,9,0
6.0,15152,15086,111274,192,340333,51,1737,1,3,7.0,15577,13321,112264,200,360089,53,2192,0,5,1
6.6,15893,14264,152127,210,444222,56,2638,0,4,7.0,20101,18854,127415,198,403583,51,976,1,13,0
11.2,44511,54065,228883,273,535205,24,7756,1,37,10.2,35027,38983,153174,195,499258,12,2152,0,19,0
7.0,17265,12359,152509,209,210701,72,1310,1,6,7.0,18061,14419,127702,233,524828,60,2116,0,7,1
6.6,18953,16402,147684,211,316641,56,3353,1,9,7.0,16199,12090,126609,227,512192,48,3794,0,4,1
10.0,35922,40514,164032,189,583637,28,7917,1,19,9.4,31836,36844,172952,188,455036,40,2561,0,20,0
6.8,14236,9473,111227,214,700877,60,1661,0,1,7.2,17797,12831,133895,249,166732,44,3527,1,8,1
6.8,19332,15836,129478,220,130900,59,1937,1,10,7.0,19865,18442,130499,192,377397,54,3605,0,12,1
7.0,15194,15728,123489,229,311315,52,4864,0,4,7.4,18332,16265,135257,262,973775,51,4717,1,8,1
6.8,14390,11153,101957,214,408246,36,3250,0,3,7.4,18446,16020,158021,250,290301,67,3241,1,7,1
6.8,16580,14320,115180,226,418202,52,3600,1,4,7.2,17699,17373,111041,222,390723,40,1669,0,9,1
6.6,15191,13040,115329,209,700708,36,2796,0,4,7.0,16644,13573,125885,245,457795,52,3134,1,5,0
6.4,15638,14634,110695,182,469592,44,1368,0,6,6.8,20176,17782,128066,211,305727,44,5151,1,13,1
7.0,16673,13419,135388,211,380384,56,4258,0,6,7.2,16189,11442,133109,218,200217,64,4134,1,5,1
7.0,15723,11004,144932,202,275393,72,3463,0,4,7.2,18087,15176,139930,253,118328,56,4922,1,6,1
7.2,19050,15841,136480,214,380174,56,1075,1,9,7.0,17425,15173,109157,214,322624,36,1660,0,8,1
6.8,15290,9107,124115,234,114358,55,1965,1,4,7.2,19424,15528,146836,226,326373,60,3999,0,11,1
7.0,18355,16665,148679,234,503551,59,2200,1,9,7.0,15104,10093,88896,189,331244,36,2744,0,5,0
7.0,17378,11100,137550,250,297529,68,3128,1,6,6.8,13516,8765,122932,174,433999,60,2966,0,2,0
7.0,19124,18973,134370,215,524160,50,2549,1,10,6.6,16796,16273,115328,192,257707,40,4306,0,9,1
7.2,17339,16281,125643,201,368182,49,2669,1,8,6.8,15659,10418,129099,206,318994,66,2249,0,4,1
6.4,14649,12744,118847,206,236799,56,1489,0,3,7.0,18793,15940,129204,244,424254,43,3753,1,8,1
7.4,18806,19571,168506,275,510427,68,2181,1,6,6.2,13973,10043,102657,181,393514,51,2163,0,2,0
7.2,15350,13993,122486,230,311928,48,4010,0,3,7.2,16924,13433,138782,210,237489,55,3064,1,7,1
6.4,15432,12511,109946,219,412592,52,1787,1,3,7.6,19438,17288,165482,239,442855,60,4958,0,10,1
6.6,17735,19927,126634,207,929598,57,3085,1,9,7.0,16831,15781,129062,189,168497,54,2416,0,7,0
7.2,15532,19052,130689,216,319074,58,4142,1,4,7.2,18016,16544,143110,251,487739,45,4256,0,6,1
7.2,16664,12385,142799,251,398186,56,1564,1,4,7.0,16283,12863,130323,214,630638,55,2433,0,5,1
6.8,16401,7962,109983,226,195155,36,2846,1,5,6.8,14047,11048,129987,217,276079,56,3327,0,1,1
7.2,19212,16917,124993,241,562836,51,3517,1,11,6.8,17159,19302,128909,255,218885,40,2419,0,6,0
7.0,16496,15336,143449,198,412005,52,1746,1,6,7.0,14817,11703,109892,191,611128,48,2282,0,6,1
6.8,15187,14106,111934,199,301061,56,542,0,5,7.0,20074,15857,140910,230,435801,62,3104,1,10,1
7.0,18375,20601,141957,188,502737,60,2550,0,12,7.4,20617,19574,160220,238,435491,50,1882,1,14,1
7.6,19061,15430,146676,239,237581,68,3591,1,9,6.8,13017,10953,103680,198,226140,36,1577,0,0,0
6.8,13487,13023,118687,201,654682,56,2642,0,1,7.2,17798,16274,115255,204,657935,44,4462,1,10,1
7.2,17670,14234,132384,200,411703,60,3235,0,9,6.8,17005,18566,110582,225,402091,35,1845,1,6,0
7.0,17872,14268,118746,210,278940,54,3772,0,8,6.8,15351,11588,114482,215,201921,48,2821,1,5,0
7.2,17119,15869,115814,233,515230,48,2544,1,6,7.2,17843,13772,133213,195,827157,56,4773,0,8,0
6.8,17487,18093,110874,221,216707,24,1257,1,10,6.8,15845,11310,114273,220,279665,60,3170,0,5,0
6.8,18570,18447,117227,191,495526,44,2335,1,11,7.0,18918,19385,125900,181,211163,56,3303,0,12,0
6.6,15265,10280,130423,233,484825,64,3460,0,3,7.2,18444,13539,143333,225,204059,56,4304,1,9,0
7.2,20246,20584,138512,209,240187,48,6171,1,13,6.8,17998,20101,128742,215,166710,39,1878,0,8,0
6.8,14146,9976,134030,211,193117,72,1876,1,1,7.2,18165,12712,151614,267,390805,51,5710,0,6,1
7.4,17723,16681,128482,225,325569,44,2518,1,9,7.2,16165,15286,154480,224,337426,67,2535,0,4,0
7.0,16310,11153,119781,212,310506,48,2470,1,5,7.2,18261,13322,131648,227,456460,60,2921,0,8,1
6.8,17540,18458,103499,199,340675,43,3860,1,8,6.4,16778,18052,128609,195,1192067,54,2503,0,6,1
7.0,16171,17252,116574,223,413449,46,3606,1,5,7.2,16180,15343,128248,221,379139,65,2840,0,4,1
7.2,18375,20235,142960,222,267744,56,4580,1,10,7.0,16280,11973,123898,197,371355,55,2190,0,7,1
6.2,12402,10024,86337,169,347972,40,1912,0,1,7.2,19901,17574,170305,257,272894,72,3326,1,10,1
9.6,31532,23709,164917,209,359984,36,4537,1,8,10.2,42946,36864,210735,259,766609,24,4611,0,24,0
10.0,38064,48696,153591,167,628223,5,3879,1,26,10.2,41419,49736,169847,190,374407,30,3739,0,32,1
4.8,9172,8412,57504,119,176261,24,2367,0,2,5.2,11699,10058,82682,118,759781,48,3119,1,6,1
7.4,18555,15662,149560,241,262606,64,4240,1,9,6.8,15504,10208,110727,221,304704,40,3794,0,4,0
7.2,16415,13178,147780,245,216272,68,3245,0,3,7.4,19935,20432,169494,254,495051,64,6165,1,8,1
7.2,17284,13437,146950,250,407941,56,3409,1,5,6.8,15259,10531,117349,221,374038,47,2754,0,4,0
7.2,22159,22200,166219,225,423765,60,4329,1,14,7.0,17560,18632,121247,200,342073,52,1125,0,8,0
7.0,16666,16216,118919,194,306601,52,1661,0,8,7.2,18374,19019,140705,230,396217,52,3619,1,8,0
7.0,16736,14195,143701,219,698675,64,4676,0,5,6.8,15398,10218,133971,216,473278,51,4058,1,3,0
6.8,16189,15536,119019,184,379636,55,2369,0,6,7.0,17964,14266,145537,215,138458,67,2084,1,7,1
7.2,18724,15279,149761,244,241671,56,1689,0,7,7.2,16239,12985,143263,232,319096,55,1689,1,5,0
6.8,14908,11830,135277,223,385941,52,2098,0,3,7.0,17032,12656,151632,238,327617,68,3392,1,5,1
7.0,17200,15048,141097,222,251406,68,4450,0,7,6.6,16489,11673,105559,181,282814,35,1749,1,7,1
7.4,18930,15363,151372,241,708148,64,2775,1,8,6.6,14869,15708,134344,208,991057,68,3909,0,2,0
6.8,19430,17661,125777,209,422178,44,4955,1,12,6.6,16695,15070,105389,212,299296,40,2545,0,7,0
5.6,12849,8678,109121,112,503278,62,3044,0,2,7.0,21701,16255,152422,199,384108,69,2140,1,14,1
7.0,19448,14355,145966,209,254919,56,4303,1,13,7.2,17681,14801,126379,217,258330,48,3410,0,9,0
6.8,17911,17102,120695,193,774674,49,2506,1,10,6.8,17531,17042,128997,204,206444,36,3936,0,8,0
7.2,17276,17698,156219,238,277066,68,3241,1,7,7.0,16494,16399,129500,230,228732,44,804,0,5,0
7.0,17780,12249,131423,205,735114,66,1455,0,7,7.0,18047,13195,123555,223,298130,50,3037,1,8,1
6.8,14467,12892,122199,199,993273,68,2902,1,2,7.0,16200,11860,132839,236,301654,47,3450,0,6,0
7.0,17627,15506,129917,223,396162,60,4157,0,8,6.6,14792,11883,134905,191,477545,71,2372,1,2,1
7.2,19071,15868,163286,250,593204,68,3811,1,9,6.8,14319,15124,133221,233,408468,51,2919,0,2,0
6.6,16266,10195,112592,205,257281,55,2211,1,5,6.8,17754,16244,127142,240,373278,44,3269,0,9,0
6.4,16411,14868,105871,171,334804,55,4101,0,6,7.6,20726,19660,159746,236,276199,63,3801,1,14,1
11.4,38169,54349,125831,115,445123,0,8384,0,26,11.2,39246,53680,123753,103,707525,0,4046,1,29,0
6.6,15909,11468,140568,210,268276,58,1969,1,4,7.4,18039,16305,266872,242,301607,56,4199,0,6,1
6.8,13732,9817,131968,236,168445,46,2562,0,0,7.4,17824,13280,157520,232,455015,72,2279,1,9,1
6.6,18494,16228,125129,193,215828,52,2924,1,9,6.6,16729,17876,124136,194,236178,40,2249,0,7,1
6.8,16148,12593,134271,218,285563,55,3663,0,5,7.0,17445,15815,145454,222,343035,60,2975,1,6,1
7.2,17853,15860,142707,250,334365,56,2508,0,8,7.2,19864,13716,135345,249,337945,42,1709,1,11,1
7.0,17188,12440,138237,254,320849,64,2598,0,5,6.8,16974,15222,129122,194,172083,68,2224,1,7,1
6.8,15602,13492,131721,191,941150,68,2067,0,6,7.2,17485,16269,152612,209,219264,75,1695,1,8,1
10.6,36922,38923,235893,237,298064,79,7202,1,14,10.4,38892,43470,245296,266,566979,44,3442,0,18,0
10.6,48983,51597,217386,234,790805,24,5718,1,37,9.0,31685,36664,140370,159,327469,31,3015,0,15,0
10.0,41871,43291,218877,287,362063,16,2471,1,22,9.6,33439,32865,176845,199,679309,40,4629,0,11,0
10.0,39520,40357,197016,242,780704,20,6445,0,15,10.0,39030,32250,262906,269,413492,55,2985,1,14,1
10.4,38587,48920,204145,217,629690,23,2639,0,25,10.4,43452,50550,239801,263,580002,46,8787,1,25,1
10.4,36160,41412,252052,193,569544,112,4965,0,16,10.0,38913,40435,173770,226,654627,8,5448,1,18,0
10.6,46262,60633,268290,248,668664,56,4077,0,31,9.6,34616,42261,156476,190,692618,4,3186,1,16,0
7.2,17273,14744,146250,229,186577,64,4483,1,5,7.0,14788,9940,128399,195,247374,60,4583,0,3,0
6.6,15129,11079,130367,224,883037,56,3419,0,2,7.2,18138,13280,148438,231,274077,72,3653,1,7,1
7.2,16263,15278,130506,203,367917,52,1148,0,5,7.0,16839,15581,119680,198,458862,56,1684,1,8,1
1.2,2659,526,4217,0,41624,4,659,0,0,1.2,2675,322,4719,3,6967,4,175,0,0,1
7.0,15157,11540,107516,222,250389,56,2337,0,3,7.4,17468,16109,140706,226,482913,64,3273,1,8,1
7.6,17209,15031,136671,221,297943,51,3524,0,8,7.0,15592,14453,129208,234,345313,52,1812,1,4,0
7.0,16492,21281,138760,210,322617,53,3632,1,7,6.6,15740,17508,104448,210,332706,37,2160,0,6,1
6.8,17786,15729,132885,213,199807,43,1131,1,7,6.8,16720,15140,127221,223,297969,48,4555,0,7,1
7.0,15461,16092,146274,227,282034,68,4326,0,3,7.2,17047,18171,152691,243,396155,52,2557,1,8,1
6.8,17946,16771,143554,218,371788,52,2370,0,8,6.8,15388,12787,113827,205,252260,48,3638,1,5,0
6.8,14844,10221,114746,200,272352,60,4909,0,2,7.6,17561,16512,147458,250,445755,60,3016,1,6,0
7.0,15810,14580,161164,229,761115,62,3270,1,3,7.2,17734,14201,112544,229,158080,44,4424,0,7,1
7.2,17053,15467,134360,224,346610,56,2843,1,7,7.0,16029,11230,123338,224,316829,48,5169,0,5,1
7.2,15902,11410,141796,256,541795,56,4297,0,3,7.4,15996,10436,134782,248,445574,52,3841,1,4,0
7.0,19680,19257,141022,211,404174,56,5025,1,13,7.0,15812,11996,129058,242,222706,52,1562,0,3,0
6.8,19046,14864,130243,236,359452,51,4071,1,9,7.2,17241,12146,126511,219,228080,60,3776,0,6,0
7.0,19114,16831,140593,218,328595,56,2614,0,8,6.2,14793,10634,100229,182,486759,52,2258,1,5,0
6.8,15677,15162,112312,187,339048,46,1992,0,7,7.4,16549,15328,152968,222,259798,71,2529,1,6,1
6.8,16440,11762,138794,236,453685,60,5535,0,4,7.4,18084,14743,173110,239,437038,72,4214,1,7,1
7.2,18103,14367,140993,232,552533,60,4433,0,7,7.2,16870,13986,128136,233,512799,56,2140,1,6,1
6.8,18741,13972,121921,223,424911,36,3146,1,10,6.8,17455,13506,115727,223,181126,48,3389,0,7,1
7.4,18492,12357,161384,240,946902,63,1897,0,9,7.4,17362,15254,149535,231,251057,64,3212,1,7,0
7.0,16023,9483,133530,243,893310,56,2008,0,4,7.4,17469,11775,156838,248,507795,72,3894,1,4,1
7.2,20216,20478,157324,244,515336,55,4221,1,13,6.8,16284,14914,121261,224,242166,44,4094,0,6,1
7.0,16594,13495,132650,241,272166,52,3519,0,7,7.4,17119,14255,145837,210,563909,67,2399,1,7,0
10.8,35606,40134,106924,110,636420,0,5121,1,18,10.6,36243,36331,97795,94,581784,0,2233,0,21,1
7.2,17679,18161,135414,230,374050,64,4024,0,7,7.2,18162,18106,127510,247,239118,48,6512,1,9,1
6.8,18986,13689,132375,242,586141,60,1546,1,8,6.8,14905,14547,129926,190,323190,68,1695,0,4,0
6.8,16945,13259,122738,212,366759,48,2285,1,7,7.0,15494,15036,140944,213,559369,62,4074,0,2,0
6.8,19636,15929,120722,186,332485,47,1181,1,11,6.8,18572,17650,138309,197,443808,61,3637,0,10,0
7.0,15515,12908,121341,224,190708,44,1915,0,4,7.0,17274,11632,131963,215,585942,56,1679,1,5,1
7.0,14568,11069,123806,228,822445,52,3853,0,2,7.0,15296,8394,140192,257,240898,68,3501,1,2,0
7.2,16193,13688,141826,234,292617,53,3418,1,5,7.2,16369,11655,133564,239,287402,65,3974,0,4,0
7.0,20050,19675,146353,201,314274,56,3395,1,13,6.4,17434,15021,118174,206,205418,44,2504,0,9,0
6.6,16509,15689,127428,225,349398,44,4489,0,4,7.0,17830,15172,153722,207,422098,68,2495,1,10,0
6.6,19738,22586,120640,182,379511,52,2163,0,15,6.2,16531,15899,94167,190,188924,32,2836,1,7,0
7.4,19248,17221,135916,207,351517,54,4013,1,12,7.0,17540,17898,136707,199,291377,59,4155,0,8,0
7.0,17374,12423,135841,243,303958,64,3639,1,6,7.4,16466,12556,128543,212,258817,48,2511,0,5,1
7.6,21712,23966,159929,228,833132,56,6032,1,16,7.0,18112,18305,117962,189,274903,60,3802,0,9,0
7.4,18546,18494,127974,193,486138,51,2731,0,12,7.2,17396,17002,149229,209,290702,64,2636,1,8,0
7.0,16339,10958,162206,231,1077991,76,2979,1,2,6.8,14649,7964,123608,219,302099,64,4474,0,2,0
1.0,2520,0,1255,1,1752,0,20,0,0,1.0,2500,0,1612,0,793,0,550,0,0,0
6.4,14658,10778,118554,223,444228,47,3028,0,1,6.6,18128,14392,125473,213,603356,44,2887,1,11,1
7.0,18917,15780,118841,223,382309,35,4272,1,11,7.0,17213,15115,153984,225,406716,67,3773,0,6,1
6.8,15097,16768,139375,225,367380,59,1677,0,3,7.2,18329,13529,163155,239,661562,68,5249,1,8,1
6.8,16869,13829,133393,228,251248,60,2659,1,5,6.8,18104,15665,130576,261,331345,52,3819,0,7,1
6.8,17500,12839,136524,226,489239,50,5045,0,6,6.8,15286,11603,121728,214,359558,46,1466,1,4,1
6.8,16390,13644,136991,217,483608,56,2125,0,5,7.2,16965,13126,172676,235,202851,76,2525,1,3,1
7.0,15373,11317,131875,234,279373,56,2448,1,3,6.8,15263,9099,128986,224,353833,54,2858,0,3,0
7.2,17931,15098,139681,240,201198,57,3866,1,6,6.8,16389,12092,133038,205,568806,62,2434,0,6,0
7.0,16768,15655,134039,239,436233,52,3528,0,6,7.0,15313,11937,129571,216,286063,51,3893,1,4,1
6.8,14183,12478,132219,192,442401,63,1768,0,2,7.4,19778,20573,160462,230,632677,68,3963,1,12,0
6.6,15728,14328,132670,216,369837,62,2238,1,3,7.2,19571,16164,141299,244,476442,48,1456,0,11,1
7.2,16527,15229,126476,188,588057,62,3507,1,6,7.0,16306,14885,135929,258,207959,56,2136,0,4,0
7.0,17094,12909,117390,222,388505,47,3404,1,7,6.8,18046,13179,128796,232,380638,44,4216,0,10,1
6.2,14429,9469,105462,195,200012,48,4154,0,2,7.0,16898,7841,110298,215,424669,42,3333,1,5,1
6.8,15689,13444,131223,191,198275,68,3559,1,5,7.0,17750,15201,113760,191,535952,47,2565,0,9,1
7.0,16313,14485,130460,216,432478,48,2593,0,6,7.4,18499,18456,117258,201,251655,52,5479,1,12,1
6.8,18787,16332,141920,207,364866,60,1252,1,11,6.8,16327,13638,142548,226,807268,60,1107,0,4,0
6.8,17665,13884,127299,224,214766,48,2265,1,7,7.0,15097,9444,117621,195,320575,60,1532,0,3,0
7.0,17150,14916,132330,195,389284,66,1820,0,7,7.0,16425,17683,133681,220,263987,58,2875,1,7,0
6.8,18601,19851,129317,220,356650,38,3271,1,9,6.4,16188,16340,120044,184,775317,52,2368,0,6,1
7.2,16333,12593,145559,234,628542,58,1548,0,3,6.6,14555,9783,112895,217,332070,47,1715,1,2,0
7.2,16351,13405,121804,205,206928,50,4511,1,6,7.4,17196,15523,154714,252,637214,62,4051,0,8,1
7.2,17980,13296,155753,231,431059,64,3900,1,7,6.8,15680,11929,150998,239,344058,59,1135,0,3,0
6.4,15665,16115,127901,206,406354,62,2015,0,4,7.4,18659,15564,144246,243,255398,48,2864,1,11,0
7.0,18406,19008,125311,206,342118,49,3171,0,10,6.8,19385,18359,125857,174,422444,43,2700,1,14,1
6.8,16438,15683,129729,201,284967,64,2918,0,7,6.8,18070,17033,134723,218,457377,52,3425,1,7,1
7.2,18562,16356,126559,225,419976,52,3927,0,9,6.6,17785,13392,106817,212,198158,36,2700,1,10,0
6.4,15072,12893,109929,185,306273,52,1482,1,6,6.8,18866,17232,152203,217,443097,54,4381,0,9,1
7.2,18077,13256,147014,235,452239,44,4867,1,7,7.2,16010,11833,132254,230,209544,64,3955,0,4,0
7.2,17080,15189,125991,209,449831,48,4235,0,7,7.2,17205,15919,130038,236,392907,55,2050,1,6,0
6.8,16299,18661,115506,228,426537,40,1244,0,6,7.0,18534,19699,124464,200,320042,36,2914,1,10,1
6.6,15096,12452,102164,186,503553,45,1946,0,4,7.6,20248,22109,150075,255,447986,50,4973,1,14,1
6.8,19254,21658,103956,175,424420,36,3524,1,13,6.4,17149,17820,105923,189,537133,32,2339,0,8,1
7.0,19295,17880,145421,222,316232,60,3050,0,12,7.0,17590,14383,133293,203,363672,56,4525,1,7,0
7.2,18066,14557,126432,221,480169,52,3796,0,7,7.0,18379,16906,131647,215,263007,51,2814,1,9,0
7.0,16870,17247,123331,210,412094,44,1185,0,7,7.4,18454,14792,143375,226,590463,52,2684,1,9,1
6.8,17904,13886,130375,224,464638,52,3224,1,8,7.0,16155,11513,152018,217,479212,68,4450,0,4,0
6.8,15656,13628,112121,184,209044,68,2916,0,4,7.0,18056,16407,115899,225,250338,44,3806,1,10,1
6.8,15391,10313,111566,203,180197,56,1511,1,4,6.8,15824,12084,130485,219,375909,52,3734,0,3,1
6.8,17038,14747,120336,229,364810,44,1313,1,7,7.0,16519,14195,149355,216,334881,76,3659,0,5,1
7.0,18445,16252,133045,208,280463,52,3095,1,9,6.8,17776,17945,126072,185,922660,56,2621,0,9,1
7.0,16699,15342,117832,239,437548,40,2829,0,6,7.0,17921,15327,134924,209,266826,56,7136,1,8,1
7.0,19256,16883,159287,221,166440,72,1206,1,10,6.6,18007,18959,113163,190,315169,56,2992,0,9,0
7.2,19017,12841,134748,228,171227,52,2842,1,10,6.4,16322,12748,106736,192,287088,40,1287,0,6,0
6.8,15501,11160,135118,231,422617,60,3091,0,3,7.4,17939,12677,155423,245,562470,68,4149,1,7,0
7.0,16458,16207,121027,219,373802,44,4173,1,6,6.8,14827,12735,134086,222,880085,72,3697,0,2,1
6.8,15757,11149,140102,228,293187,64,5647,0,3,6.8,14179,12075,132206,225,178238,60,2014,1,1,1
