blue_average_level,blue_total_gold,blue_totalDamageDoneToChampions,blue_totalDamageDone,blue_minionsKilled,blue_timeEnemySpentControlled,blue_jungleMinionsKilled,blue_currentGold,blue_first_blood,blue_champions_killed,red_average_level,red_total_gold,red_totalDamageDoneToChampions,red_totalDamageDone,red_minionsKilled,red_timeEnemySpentControlled,red_jungleMinionsKilled,red_currentGold,red_first_blood,red_champions_killed,blue_win
6.8,16524,14046,116876,221,214737,48,2339,1,6,7.4,17443,11491,152812,229,309259,68,3513,0,7,1
6.8,15226,10324,130543,224,311761,56,2201,0,4,7.0,16617,11220,136133,236,395034,56,5546,1,6,1
7.2,16963,14767,119309,221,307877,48,2748,1,6,7.2,17243,12384,142578,229,258249,59,2903,0,8,1
7.4,29403,37940,167453,196,209566,25,7873,1,34,5.4,11175,10033,36316,65,176890,0,1740,0,4,0
7.0,16609,15387,110876,204,272102,44,4584,1,9,7.0,15802,15730,132146,198,566909,68,1462,0,5,0
7.2,19537,17997,149178,228,467957,64,2247,0,10,6.8,17380,15855,100680,172,357070,35,3155,1,8,0
7.2,16658,9358,133258,239,248321,64,5268,1,5,6.8,16564,12187,139747,240,445629,56,4034,0,4,1
6.8,15337,13121,100617,189,268143,28,2332,0,6,7.2,17878,17737,154944,261,200612,56,4263,1,8,1
7.0,17017,13732,253895,255,277810,46,2342,0,5,6.8,17474,11566,131396,241,289283,64,1763,1,6,0
10.8,37470,50480,118596,127,410623,0,3095,0,22,11.6,39856,61968,126807,98,493655,0,4406,1,34,1
7.2,19268,22411,141259,202,358386,52,2243,0,13,6.8,17952,22448,122312,197,319093,40,3227,1,9,0
7.2,15673,12504,130729,238,341897,51,3113,0,3,7.2,16638,18116,158979,225,449878,64,2378,1,5,1
6.8,16711,13275,141313,237,247970,44,4681,0,5,7.4,18284,12588,262311,260,205591,66,3659,1,6,1
7.2,20473,24996,148146,195,276687,68,4188,0,15,6.4,15583,14576,107415,187,171997,40,2713,1,8,0
7.6,19758,18582,170001,209,368358,67,2848,1,12,6.8,16587,14045,149972,201,590467,71,2607,0,7,0
11.6,41786,69849,135605,104,352994,0,4236,0,36,11.8,40436,59048,118255,88,248276,0,3486,1,33,1
7.4,18218,17001,140293,229,675340,60,5823,0,9,7.0,17452,13948,135274,236,346781,42,2347,1,7,0
7.0,17189,14619,134074,226,152241,52,6164,1,8,7.2,16571,16452,154923,216,233888,68,1677,0,6,0
1.2,2663,222,3711,4,3401,4,663,0,0,1.2,2615,0,2837,1,0,4,110,0,0,1
6.8,14785,11601,113538,177,194714,44,4830,0,5,6.8,15513,15179,124880,161,198757,56,1603,1,6,1
7.2,18507,18262,133988,222,261259,48,2962,1,11,7.0,16566,15026,135253,223,545751,51,3836,0,4,0
6.8,17162,13520,111385,209,284833,32,1476,0,8,7.0,17237,16083,156738,247,317424,60,1947,1,6,1
6.8,15938,16946,118489,226,457096,40,2288,0,5,7.0,18690,16917,121330,234,124708,40,3820,1,11,1
6.4,15990,17614,92775,148,205072,36,2275,1,8,6.8,18973,20892,122976,203,284515,48,3853,0,15,1
7.0,16960,16528,159360,218,276784,60,2060,1,7,7.2,18469,18782,123486,204,437163,32,3659,0,11,1
6.8,13600,11297,103046,188,124281,44,2775,0,2,6.8,15422,11363,117460,203,226121,52,1542,1,5,1
11.6,37954,59320,133690,124,411314,0,2854,0,29,11.0,37962,53759,141493,119,672446,0,902,1,30,0
7.0,17275,18014,138539,250,482942,48,5700,0,6,6.6,14137,10589,115598,199,221975,56,2282,1,2,0
6.8,15929,14612,110252,198,317384,48,2034,1,7,7.0,17123,13936,120850,200,401482,56,3703,0,9,1
7.2,18052,14355,130181,241,258429,56,2642,1,7,6.8,14905,11774,121562,200,474654,62,1130,0,4,0
7.0,16623,12494,138567,221,302618,56,793,1,5,6.8,13994,6820,118691,240,224286,56,2129,0,1,0
7.4,19798,15312,150733,235,483737,64,4483,0,10,6.6,13490,9231,112181,203,108426,50,2915,1,1,0
5.4,15258,9626,21643,30,68445,0,4358,1,6,5.4,13429,6813,13279,11,64223,0,1579,0,5,0
7.0,19650,18194,118719,194,194671,48,3895,0,13,6.8,19532,18516,101781,159,241314,48,1387,1,14,0
6.6,15425,10932,109435,184,320902,39,2550,1,4,6.6,15171,13051,111849,172,344034,48,3376,0,6,1
6.8,17512,15455,123542,228,385269,44,1732,0,8,7.0,17685,13994,141608,207,321803,52,4485,1,7,1
11.2,37985,56127,123866,104,256248,0,3595,0,21,11.2,39734,61844,128903,105,573265,0,1834,1,32,1
7.0,15571,12867,113768,200,208411,48,2741,0,5,7.0,18463,14769,118377,208,147703,40,4453,1,8,1
7.2,16777,14378,132788,200,336966,55,2497,0,7,7.2,17839,17415,119807,224,284366,48,3779,1,8,1
6.8,16850,13494,126319,239,425403,56,2695,1,6,7.2,21095,18737,151685,256,226820,56,3705,0,12,1
7.2,17885,15579,141486,237,261084,44,4185,0,9,7.2,18341,13653,152663,245,544852,68,1811,1,7,1
6.8,22887,25749,136798,201,371409,40,2377,1,20,6.6,17669,19633,133692,214,423867,60,1429,0,8,0
6.8,17221,13391,118199,245,476380,52,5231,1,5,6.8,16349,11099,130321,250,510346,56,3239,0,6,0
10.8,37065,50125,112805,106,568477,0,2680,0,23,11.6,39028,67544,144767,115,589181,0,6948,1,33,1
11.0,36516,46500,108540,109,331594,0,2666,0,22,11.0,37630,44563,116903,106,413818,0,5680,1,24,1
6.8,15897,10921,109444,206,201958,40,5647,0,6,6.8,16521,11930,111091,227,278462,44,2496,1,6,1
7.0,20066,19404,130262,203,848221,39,2726,1,14,6.6,15555,15391,115214,193,147586,52,2725,0,5,0
6.8,16636,14299,130983,196,203455,52,2866,1,4,7.4,18412,15495,150050,222,236735,64,5462,0,11,1
6.8,15632,11577,118788,210,338394,48,4612,0,5,6.6,15522,10437,128887,224,344664,56,2972,1,4,0
7.0,16056,10824,108471,202,620952,56,2806,0,6,6.8,18856,17323,112814,194,329721,44,881,1,11,1
7.2,17773,13395,139760,229,272699,58,1978,0,6,7.0,16838,12520,134239,214,366912,60,1843,1,7,1
11.2,38645,67565,123857,96,438993,0,1770,1,30,11.6,40854,62911,126570,88,1354921,0,6049,0,32,1
6.6,14146,7523,106676,212,315345,52,2456,0,2,7.2,18220,17614,151703,231,350965,60,4875,1,8,1
7.0,18936,15536,125026,221,469746,48,1448,0,10,6.4,16060,12409,101656,189,354125,40,2975,1,7,0
6.8,19859,19214,131564,218,433383,50,6529,1,12,6.8,17927,14955,105615,211,430849,44,2267,0,9,0
6.8,14639,11058,126223,183,331165,60,3259,1,3,7.2,15296,10852,123213,227,362297,46,4661,0,4,1
11.4,38251,60419,118401,90,540480,0,2501,0,24,12.4,43599,90131,165394,121,341270,0,4344,1,50,1
6.0,12727,8670,83822,170,354371,36,4422,0,3,6.8,17306,9248,122532,215,283542,44,4781,1,8,1
7.0,18216,16910,96939,198,303321,28,2766,0,11,6.4,15132,14113,108003,190,217202,44,2637,1,6,0
11.0,38133,53047,112808,112,321497,0,3473,1,23,11.4,41107,54877,138227,122,596596,0,7267,0,36,1
7.4,18452,16626,131756,203,300936,56,3202,1,10,7.2,17791,14820,138772,217,184855,68,3381,0,7,0
7.2,20486,18290,145786,224,313385,60,1126,0,13,6.6,15669,11445,115472,230,171853,44,919,1,5,0
7.0,15432,14041,130284,240,514871,64,4062,0,2,6.8,14918,10555,115520,262,141701,44,3003,1,2,0
10.2,35174,36910,97264,95,318097,0,4074,0,15,10.4,35312,39505,100585,109,675704,0,6862,1,19,1
6.8,17975,14701,127766,223,446979,40,3575,1,9,6.6,14689,11677,91369,227,204000,36,3259,0,4,0
6.8,14689,8652,129085,231,161984,72,3709,1,2,7.2,17318,12704,243203,246,259840,53,3033,0,6,1
6.8,17453,17096,130100,191,329027,56,2368,1,9,7.0,17798,17533,132335,200,307018,52,3073,0,11,1
11.4,39305,54154,127432,120,254932,0,3830,0,29,11.6,39464,55911,128037,115,684951,0,4739,1,29,1
7.4,16544,18424,140503,228,697636,60,2154,0,7,6.8,14836,11883,119668,204,333744,60,3051,1,5,0
6.8,15404,12984,135929,222,408025,52,3764,0,3,7.0,18440,15134,138082,222,674804,52,2775,1,9,0
6.8,17236,14004,138161,202,531543,68,2371,0,7,6.8,18120,15957,145362,218,384823,68,3575,1,11,1
7.4,18154,19130,140714,220,478600,60,4614,0,10,7.2,16496,13060,136901,208,526058,64,4696,1,6,1
7.2,17428,14205,120056,219,263866,60,3158,1,9,7.0,17269,15464,146959,213,488906,72,2524,0,7,1
6.6,16097,15473,113724,176,344263,48,2355,0,8,7.0,17538,18717,131895,221,413529,52,758,1,8,1
7.0,17673,17913,119907,200,264841,46,2783,0,9,6.4,15211,13089,107912,150,455292,54,1921,1,6,0
6.6,17305,14963,118607,168,431632,64,4550,1,7,7.0,18725,14572,145820,238,345021,56,4010,0,8,1
7.2,18328,18877,140246,195,447382,56,898,0,10,6.6,17615,13830,111818,193,697233,51,3470,1,8,0
7.2,19504,17452,149968,221,388173,44,5799,1,10,6.8,15795,14116,112266,162,457107,60,2275,0,5,1
7.2,18517,18286,133928,246,394363,51,5092,1,7,6.4,15930,12480,100124,151,365468,40,2880,0,8,0
7.6,27725,43181,162208,210,152916,0,2440,1,33,6.0,11010,12194,43418,67,785538,0,1775,0,5,0
6.6,15607,13124,147274,210,525606,60,3992,1,3,7.4,18485,14026,130593,212,401547,52,2810,0,10,1
7.2,15774,12902,125134,208,279064,60,4074,1,6,6.6,14426,12806,128762,215,307719,56,3416,0,1,0
7.0,17532,12789,118014,203,203295,48,2887,0,9,7.0,17686,17638,107836,188,372546,36,3601,1,10,1
6.6,17778,15426,115877,215,328388,44,1043,1,9,7.0,18391,14581,135536,213,467702,60,2891,0,8,0
7.2,20395,25131,132357,203,282308,34,4710,0,16,6.6,16156,16655,116520,183,157879,40,2666,1,8,0
7.0,14906,9544,119418,229,384245,51,2756,1,2,7.0,15281,8309,136348,235,387097,65,2481,0,2,1
7.2,18799,15174,165059,283,533844,52,3104,1,8,6.4,13874,11803,110125,205,404492,40,2279,0,2,0
7.0,16041,11176,130592,214,699122,64,1781,0,4,6.8,16319,12927,120414,211,171279,56,4814,1,5,0
7.0,17163,15713,121994,217,382329,45,3678,1,8,7.2,15079,11916,108667,217,294597,47,2704,0,5,0
7.2,16773,15446,144128,234,297249,60,5183,1,5,6.8,13619,9415,109445,208,295512,48,1979,0,2,0
7.6,19547,15901,167926,251,379589,66,3082,0,9,7.0,16025,11399,140698,236,386448,60,1650,1,5,0
7.2,19611,17469,121121,232,346508,40,2061,1,13,6.4,14392,13571,114812,186,171624,56,3212,0,3,0
7.0,16464,12842,120262,212,541831,56,2899,1,5,7.0,15395,11202,129099,221,268112,59,5030,0,4,0
11.4,37009,51096,107789,90,292930,0,4109,0,26,11.6,38894,59833,125689,114,313619,0,3444,1,34,1
6.6,19128,22248,165720,247,237659,62,3633,0,8,6.8,17513,11420,97570,179,172687,44,2033,1,8,1
7.2,17303,13452,131115,222,212242,60,1823,0,8,6.4,16548,12472,150336,197,251276,66,1413,1,5,0
6.8,14210,8818,117646,238,250334,48,1520,0,0,7.2,16602,9015,131159,223,303536,72,3842,1,5,0
7.0,18321,17870,128701,230,202843,48,4221,1,10,6.8,15796,15303,132792,201,290647,64,2421,0,5,0
6.6,17362,9887,128307,225,367484,52,2802,1,7,6.6,14492,11314,122796,197,219023,52,2422,0,4,0
7.2,15647,10916,144734,216,430886,60,5082,0,4,7.2,15502,11487,142057,239,222089,60,2677,1,3,0
7.2,20252,21235,137486,229,240242,51,6007,0,12,6.6,14575,12415,100643,191,294170,32,1685,1,5,0
6.8,17840,15693,121290,209,260129,50,1970,1,10,6.4,14362,12553,91388,182,280753,48,1782,0,4,0
6.8,16289,10381,119782,229,397638,48,3454,1,5,6.6,14035,11062,129391,195,224550,68,1640,0,1,0
10.6,36883,37685,109278,109,371666,0,3538,1,17,10.6,34288,37303,102446,100,262284,0,5503,0,21,0
7.0,17214,12755,125682,233,530866,47,5014,0,8,6.6,17960,15428,115538,182,405381,44,2905,1,10,0
7.2,18401,16947,155218,224,301783,52,3656,1,9,6.6,13916,9164,109337,196,303368,52,2431,0,2,0
10.8,35949,37486,107485,111,456410,0,4074,1,20,11.2,39182,53594,122763,108,360803,0,3882,0,28,1
6.8,15474,12996,128577,194,197966,48,3334,0,4,7.0,17256,16847,143531,220,453013,60,3021,1,9,0
7.2,16333,11693,140663,226,956977,68,4693,1,5,7.2,15805,16598,112771,199,234135,48,2435,0,6,1
6.4,14384,11567,108947,216,253527,40,3019,0,3,7.0,14990,11552,133658,227,674135,62,4835,1,4,1
6.8,15264,9180,117586,210,416496,52,4079,0,4,6.6,15841,11674,116046,198,500066,56,5246,1,5,1
6.6,16908,11511,110195,224,170266,32,1938,1,7,6.8,15975,13850,121455,190,222262,52,2350,0,6,1
6.6,14016,13906,130405,207,890047,48,1541,0,2,7.4,22130,22459,164794,230,448186,68,4970,1,17,1
7.0,18512,20613,135105,198,476626,48,3006,1,10,6.4,14489,11593,103109,186,473708,48,2249,0,3,0
6.6,13200,10013,108324,203,294256,40,1620,0,1,7.2,18806,18507,139430,221,346861,59,4131,1,9,1
